date,city,mean_rad,temp_max,rad_rolling,temp_rolling
2005-01-01,Agadir,6.680890000000001,17.81,6.680890000000001,17.81
2005-01-02,Agadir,6.65736,17.91,6.669125,17.86
2005-01-03,Agadir,6.8025,18.26,6.713583333333333,17.993333333333336
2005-01-04,Agadir,6.77962,18.35,6.7464933333333335,18.17333333333333
2005-01-05,Agadir,6.82313,17.68,6.801749999999999,18.096666666666668
2005-01-06,Agadir,6.85703,17.12,6.8199266666666665,17.716666666666665
2005-01-07,Agadir,6.76183,19.77,6.813996666666667,18.19
2005-01-08,Agadir,4.744269999999999,19.43,6.121043333333333,18.773333333333337
2005-01-09,Agadir,6.92638,18.66,6.144159999999999,19.286666666666665
2005-01-10,Agadir,6.84394,17.7,6.17153,18.596666666666668
2005-01-11,Agadir,6.82251,18.15,6.864276666666666,18.17
2005-01-12,Agadir,6.85082,18.94,6.83909,18.26333333333333
2005-01-13,Agadir,6.87413,20.09,6.849153333333334,19.06
2005-01-14,Agadir,6.97688,20.77,6.90061,19.933333333333334
2005-01-15,Agadir,6.89259,20.99,6.914533333333334,20.616666666666664
2005-01-16,Agadir,5.321149999999999,23.18,6.396873333333333,21.646666666666665
2005-01-17,Agadir,6.5299700000000005,25.65,6.247903333333333,23.27333333333333
2005-01-18,Agadir,6.667520000000001,22.97,6.17288,23.933333333333334
2005-01-19,Agadir,5.9486300000000005,20.13,6.382040000000001,22.916666666666668
2005-01-20,Agadir,6.691949999999999,22.64,6.4360333333333335,21.913333333333338
2005-01-21,Agadir,5.84097,23.56,6.160516666666667,22.11
2005-01-22,Agadir,5.99217,21.89,6.17503,22.69666666666667
2005-01-23,Agadir,6.54171,21.54,6.124950000000001,22.33
2005-01-24,Agadir,6.59633,20.08,6.376736666666666,21.17
2005-01-25,Agadir,5.81948,18.19,6.319173333333334,19.936666666666664
2005-01-26,Agadir,5.776770000000001,17.9,6.064193333333333,18.723333333333333
2005-01-27,Agadir,6.008430000000001,15.73,5.868226666666668,17.273333333333337
2005-01-28,Agadir,6.3853,15.41,6.0568333333333335,16.346666666666668
2005-01-29,Agadir,6.40524,13.76,6.266323333333333,14.966666666666669
2005-01-30,Agadir,6.48182,14.8,6.424119999999999,14.656666666666666
2005-01-31,Agadir,6.56804,16.76,6.485033333333333,15.10666666666667
2005-02-01,Agadir,7.01743,17.72,6.689096666666667,16.426666666666666
2005-02-02,Agadir,7.04025,16.61,6.875240000000001,17.03
2005-02-03,Agadir,7.045929999999999,16.95,7.034536666666667,17.093333333333334
2005-02-04,Agadir,7.034389999999999,16.96,7.04019,16.84
2005-02-05,Agadir,7.02236,16.44,7.034226666666666,16.783333333333335
2005-02-06,Agadir,6.46651,15.76,6.8410866666666665,16.386666666666667
2005-02-07,Agadir,6.96452,13.81,6.817796666666666,15.336666666666668
2005-02-08,Agadir,6.64117,13.96,6.690733333333334,14.51
